attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
unitCode	"Park, monument, or network code"	categorical			Empty string	Not applicable or data not collected
unitName	"Park, monument, or unit full name"	character			Empty string	Not applicable or data not collected
eventID	Unique event identifier for the observation	character			Empty string	Not applicable or data not collected
locationID	Unique location identifier	character			Empty string	Not applicable or data not collected
siteID	Location code	categorical			Empty string	Not applicable or data not collected
siteName	Name of the location	character			Empty string	Not applicable or data not collected
protocolName	Protocol version name	character			Empty string	Not applicable or data not collected
protocolDescription	Protocol version description information	character			Empty string	Not applicable or data not collected
startYear	Year of the starting date of the event	Date		YYYY	Empty string	Not applicable or data not collected
startDate	Starting date for the event	Date		YYYY-MM-DD	Empty string	Not applicable or data not collected
startTime	Starting time for the event	Date		hh:mm:ss+hhmm	Empty string	Not applicable or data not collected
startTimeLocal	"Starting time for the event, in local time"	Date		hh:mm:ss	Empty string	Not applicable or data not collected
endTime	End time for the event	Date		hh:mm:ss+hhmm	Empty string	Not applicable or data not collected
endTimeLocal	"End time for the event, in local time"	Date		hh:mm:ss	Empty string	Not applicable or data not collected
localTimeZone	The time zone where times were recorded in	categorical			Empty string	Not applicable or data not collected
observers	List of names of individuals responsible for recording the original occurrence	character			Empty string	Not applicable or data not collected
eventQCFlag	Quality control flag	character			Empty string	Not applicable or data not collected
eventQCNotes	Quality control flag notes	character			Empty string	Not applicable or data not collected
scientificName	Full scientific name	character			Empty string	Not applicable or data not collected
commonName	Common or vernacular name	character			Empty string	Not applicable or data not collected
TSN	Taxonomic serial number used to identify species in taxonomic database	numeric	dimensionless		Empty string	Not applicable or data not collected
eventNotes	General notes on the event	character			Empty string	Not applicable or data not collected
surveyDirection	"Direction in which the survey was conducted, i.e. north to south"	categorical			Empty string	Not applicable or data not collected
windSpeedMPH	Average wind speed	numeric	milesPerHour		NA	Not applicable or data not collected
windMaxMPH	Maximum wind speed	numeric	milesPerHour		NA	Not applicable or data not collected
windDirection	Wind direction	categorical			Empty string	Not applicable or data not collected
airTemperatureDegreesF	Average air temperature	numeric	fahrenheit		NA	Not applicable or data not collected
relativeHumidityPercent	Average relative humidity	numeric	percent		NA	Not applicable or data not collected
cloudCoverPercent	Average percent cloud cover	numeric	percent		NA	Not applicable or data not collected
tideCondition	Tide condition	categorical			Empty string	Not applicable or data not collected
incompleteSurvey	Check if the survey was an incomplete survey of the beach sector	categorical			Empty string	Not applicable or data not collected
eventDetailsQCFlag	Quality control flag for columns `Event_Notes` to `Incomplete_Survey`	character			Empty string	Not applicable or data not collected
eventDetailsQCNotes	Quality control flag notes	character			Empty string	Not applicable or data not collected
dataProcessingLevel	Unique name for the data processing level	character			Empty string	Not applicable or data not collected
dataProcessingLevelDate	Date that the data processing level changed	Date		YYYY-MM-DD hh:mm:ss	Empty string	Not applicable or data not collected
dataProcessingLevelUser	Individual who assigned the current data processing level status	character				
type	The nature of the genre or source	categorical			Empty string	Not applicable or data not collected
basisOfRecord	The specific nature of the data record	categorical			Empty string	Not applicable or data not collected
