attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
ID	Table ID field	numeric	dimensionless		Empty string	Not applicable or data not collected
Predator_Data_ID	Unique identifier for predator observations	character			Empty string	Not applicable or data not collected
Event_ID	Event ID	character			Empty string	Not applicable or data not collected
Type	The nature of the genre or source	categorical			Empty string	Not applicable or data not collected
Basis_Of_Record	The specific nature of the data record	categorical			Empty string	Not applicable or data not collected
Unit_Code	"Park, monument, or network code"	categorical			Empty string	Not applicable or data not collected
Location_ID	Location identifier	categorical			Empty string	Not applicable or data not collected
Loc_Code	Location code	categorical			Empty string	Not applicable or data not collected
Loc_Name	Location name	character			Empty string	Not applicable or data not collected
Start_Year	Year of the starting date for the event	Date		YYYY	Empty string	Not applicable or data not collected
Start_Date	Starting date for the event	Date		YYYY-MM-DD	Empty string	Not applicable or data not collected
QCFlag	Quality control flag	character			Empty string	Not applicable or data not collected
QCNotes	Quality control notes	character			Empty string	Not applicable or data not collected
PredatorType	Code for the type of predator or disturbance	character			Empty string	Not applicable or data not collected
SpeciesCode	Predator type species code	categorical			Empty string	Not applicable or data not collected
ScientificName	Predator type scientific name	character			Empty string	Not applicable or data not collected
CommonName	Predator type common name	character			Empty string	Not applicable or data not collected
TSN	Integrated Taxonomic Information System Taxonomic Serial Number.	character			Empty string	Not applicable or data not collected
NumPredator	Number of predators observed	numeric	dimensionless		Empty string	Not applicable or data not collected
PredatorAction	Code for what the predator was doing	categorical			Empty string	Not applicable or data not collected
PredatorDirection	Direction of where the predator was moving	categorical			Empty string	Not applicable or data not collected
Waypoint	Waypoint name as recorded in GPS	character			Empty string	Not applicable or data not collected
Decimal_Longitude	"The geographic longitude in decimal degrees, using the spatial reference system given in the 'Datum' field"	numeric	dimensionless		Empty string	Not applicable or data not collected
Decimal_Latitude	"The geographic latitude in decimal degrees, using the spatial reference system given in the 'Datum' field"	numeric	dimensionless		Empty string	Not applicable or data not collected
Coord_System	Coordinate system for Decimal_Latitude and Decimal_Longitude values	categorical			Empty string	Not applicable or data not collected
Datum	Datum used for Decimal_Latitude and Decimal_Longitude values	categorical			Empty string	Not applicable or data not collected
PredatorNotes	General notes on the observed predators	character			Empty string	Not applicable or data not collected
