attributeName	code	definition
basisOfRecord	HumanObservation	Observation made by a human
chickLossWeekend1	No	No chicks were lost during the first weekend
chickLossWeekend1	Yes	A chick or chicks were lost during the first weekend
chickLossWeekend2	No	No chicks were lost during the second weekend
chickLossWeekend2	Yes	A chick or chicks were lost during the second weekend
chickLossWeekend3	No	No chicks were lost during the third weekend
chickLossWeekend3	Yes	A chick or chicks were lost during the third weekend
chickLossWeekend4	empty	Not defined
chickLossWeekend4	No	No chicks were lost during the fourth weekend
chickLossWeekend4	Yes	A chick or chicks were lost during the fourth weekend
coordSystem	UTM	Universal Transverse Mercator coordinate system
dataProcessingLevelNestMaster	Raw	Data that have not been verified against paper datasheets or validated
dataProcessingLevelNestMaster	Accepted	"Data have been verified and validated (logic queries run), but a QAP does not exist"
dataProcessingLevelNestMaster	Provisional	"Data that have been verified against paper datasheets, but not validated"
datum	NAD83	North American Datum 83
datum	WGS84	World Geodetic System 84
initiationDateUnk	No	The date of the nest's initiation is known
initiationDateUnk	Yes	The date of the nest's initiation is unknown
microCoarse	No	Coarse microhabitat not present
microCoarse	Yes	Coarse microhabitat present
microHorsePrints	No	Horse prints not present
microHorsePrints	Yes	Horse prints present
microHumanDogPrints	No	Human/Dog prints not present
microHumanDogPrints	Yes	Human/Dog prints present
microHumanTrash	No	Manufactured debris/beach visitor trash not present
microHumanTrash	Yes	Manufactured debris/beach visitor trash present
microSand	No	Sand microhabitat not present
microSand	Yes	Sand microhabitat present
microSeaweedKelp	No	Seaweed/kelp microhabitat not present
microSeaweedKelp	Yes	Seaweed/kelp microhabitat present
microSmooth	No	Smooth/undulating microhabitat not present
microSmooth	Yes	Smooth/undulating microhabitat present
microSteep	No	Steep terracing towards ocean not present
microSteep	Yes	Steep terracing towards ocean present
microVegetation	No	Vegetation microhabitat not present
microVegetation	Yes	Vegetation microhabitat present
microVehicleTracks	No	Vehicle tracks not present
microWoody	No	Woody debris microhabitat not present
microWoody	Yes	Woody debris microhabitat present
restoredAdjacent	No	Nest is not adjacent to a restored area
restoredAdjacent	Yes	Nest is adjacent to a restored area
restoredArea	No	Nest is not within a restored area
restoredArea	Yes	Nest is within a restored area
siteID	K	Kehoe Beach
siteID	L	Limantour Beach
siteID	NB	North Beach - South Parking
siteID	NP	North Beach - Abbott's
siteID	RA	2011 Dune Restoration Area
siteID	SB	South Beach
type	event	"A non-persistent, time-based occurrence"
unitCode	PORE	Point Reyes National Seashore
