"unitCode","unitName","SNPLBandIDInt","SNPLDataID","eventID","locationID","siteID","siteName","startYear","startDate","nestID","QCFlag","QCNotes","scientificName","commonName","TSN","leftLegCode","leftLegDesc","rightLeg","rightLegDesc","SNPLSex","SNPLAge","bandNotes","type","basisOfRecord"
"PORE","Point Reyes National Seashore",382,"20140914162407-910964310.16922","20140914161854-589163005.35202","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2014,2014-04-14,"RA02_2014",,,"Charadrius nivosus","Western Snowy Plover","824030","g?",,"gg",,"Female",,"unsure of bottom left","Event","HumanObservation"
"PORE","Point Reyes National Seashore",384,"20140914175057-694485306.739807","20140914174900-428456366.062164","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2014,2014-04-16,,,,"Charadrius nivosus","Western Snowy Plover","824030","g?",,"gg",,"Female",,"unsure of bottom left","Event","HumanObservation"
"PORE","Point Reyes National Seashore",404,"20140922163948-272946834.564209","{9B0F0516-C713-4BBB-BC1F-3265E09A6B40}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2014,2014-05-13,,,,"Charadrius nivosus","Western Snowy Plover","824030","ly",,"yo",,"Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",405,"20140923134518-14017641.544342","{6D891F2D-4545-4800-978D-9749096F4E39}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2014,2014-05-15,"RA02_2014",,,"Charadrius nivosus","Western Snowy Plover","824030","ow",,"wg",,"Male",,"not associated with RA02_2014 just in same area","Event","HumanObservation"
"PORE","Point Reyes National Seashore",406,"20140923134518-14017641.544342","{6D891F2D-4545-4800-978D-9749096F4E39}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2014,2014-05-15,"RA02_2014",,,"Charadrius nivosus","Western Snowy Plover","824030","ga",,"gg",,"Female",,"not associated with RA02_2014 just in same area","Event","HumanObservation"
"PORE","Point Reyes National Seashore",413,"20140923153948-207561135.292053","{034527EF-1F10-4764-9F9D-C2960023D023}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2014,2014-05-18,,,,"Charadrius nivosus","Western Snowy Plover","824030","?",,"y","Yellow","Male",,"unable to read left leg bands","Event","HumanObservation"
"PORE","Point Reyes National Seashore",411,"20140923153658-410073220.729828","{034527EF-1F10-4764-9F9D-C2960023D023}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2014,2014-05-18,,,,"Charadrius nivosus","Western Snowy Plover","824030","ow",,"wg",,"Male",,,"Event","HumanObservation"
"PORE","Point Reyes National Seashore",412,"20140923153658-410073220.729828","{034527EF-1F10-4764-9F9D-C2960023D023}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2014,2014-05-18,,,,"Charadrius nivosus","Western Snowy Plover","824030","?",,"gg",,"Female",,"unable to read left leg bands","Event","HumanObservation"
"PORE","Point Reyes National Seashore",418,"20140924095941-712730467.319489","20140924095754-646587133.407593","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2014,2014-05-21,"RA06_2014",,,"Charadrius nivosus","Western Snowy Plover","824030","aw",,"yl",,"Female",,"unsure of a","Event","HumanObservation"
"PORE","Point Reyes National Seashore",448,"20140924142713-432759523.391724","20140924142435-347832679.748535","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2014,2014-06-03,"RA06_2014",,,"Charadrius nivosus","Western Snowy Plover","824030","aw",,"yl",,"Female",,,"Event","HumanObservation"
