"unitCode","unitName","chickBandDataID","nestID","SNPLDataID","eventID","locationID","siteID","siteName","year","bandCombination","chickBandDate","QCFlag","QCNotes","scientificName","commonName","TSN","chickWeightInGrams","drynessInPercent","eggToothPresence","yolkSacPresence","notes","type","basisOfRecord"
"PORE","Point Reyes National Seashore",17,"RA04_2016","20160831131536-575183808.803558","{8ACF4064-F47D-4E63-A3BC-309CAD947C01}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2016,"av:yr",2016-05-31,,,"Charadrius nivosus","Western Snowy Plover","824030",,50,"Yes egg tooth are present",,"Dot on the aqua band","Event","HumanObservation"
"PORE","Point Reyes National Seashore",18,"RA06_2016","20160901131643-390291452.407837","{BA333866-EBD1-4FEF-AD6B-B4324C1A5687}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2016,"av:rb",2016-07-19,,,"Charadrius nivosus","Western Snowy Plover","824030",6.19999980926514,80,"Yes egg tooth are present","No yolk sac present","Dot on the aqua band. USFWS - 8021-20790","Event","HumanObservation"
"PORE","Point Reyes National Seashore",19,"RA06_2016","20160901131643-390291452.407837","{BA333866-EBD1-4FEF-AD6B-B4324C1A5687}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2016,"av:rb",2016-07-19,,,"Charadrius nivosus","Western Snowy Plover","824030",6.30000019073486,50,"Yes egg tooth are present","No yolk sac present","Dot on the red band. USFWS - 8021-20791","Event","HumanObservation"
"PORE","Point Reyes National Seashore",16,"RA04_2016","20160831131536-575183808.803558","{8ACF4064-F47D-4E63-A3BC-309CAD947C01}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2016,"av:yr",2016-05-31,,,"Charadrius nivosus","Western Snowy Plover","824030",,50,"Yes egg tooth are present",,"Dot on the yellow band.","Event","HumanObservation"
"PORE","Point Reyes National Seashore",53,"RA06_2017","20170909111723-295772850.513458","{8DD6CD3A-726A-4761-BF05-B703F38DF2BD}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2017,"av:gr",2017-06-29,,,"Charadrius nivosus","Western Snowy Plover","824030",5.59999990463257,100,"Yes egg tooth are present",,"USFWS: 8021-20544","Event","HumanObservation"
"PORE","Point Reyes National Seashore",55,"RA07_2017","20170909112734-278279960.155487","{57CE7E44-E3F1-4A64-905F-4113B5AD6E9F}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2017,"av:wy",2017-07-20,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"Yes egg tooth are present",,"USFWS: 8021-18395","Event","HumanObservation"
"PORE","Point Reyes National Seashore",54,"RA07_2017","20170909112734-278279960.155487","{57CE7E44-E3F1-4A64-905F-4113B5AD6E9F}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2017,"av:wy",2017-07-20,,,"Charadrius nivosus","Western Snowy Plover","824030",,100,"No egg tooth present",,"USFWS: 8021-18393","Event","HumanObservation"
"PORE","Point Reyes National Seashore",52,"RA06_2017","20170909111723-295772850.513458","{8DD6CD3A-726A-4761-BF05-B703F38DF2BD}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2017,"av:gr",2017-06-29,,,"Charadrius nivosus","Western Snowy Plover","824030",5.80000019073486,100,"No egg tooth present",,"USFWS: 8021-20545","Event","HumanObservation"
"PORE","Point Reyes National Seashore",51,"RA03_2017","20170909105142-575183808.803558","{BED00A6A-4A76-4D50-8C56-215A64F57B4B}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2017,"av:ob",2017-06-06,,,"Charadrius nivosus","Western Snowy Plover","824030",6.69999980926514,100,"Yes egg tooth are present",,"USFWS: 8021-20534","Event","HumanObservation"
"PORE","Point Reyes National Seashore",50,"RA01_2017","20170909103705-226866006.851196","{DEF28935-1E4C-4576-A42D-1FD8C1CD234A}","{915091EC-61D4-40EF-92EF-E9EF4B6A26D1}","RA","2011 Dune Restoration Area",2017,"av:rr",2017-05-23,,,"Charadrius nivosus","Western Snowy Plover","824030",5,100,"No egg tooth present","No yolk sac present","USFWS: 8021-20530; banded, but bands and tape were not melted (didn't have soldering iron)","Event","HumanObservation"
