"unitCode","unitName","siteID","siteName","startYear","startDate","nestID","SNPLTime","SNPLTimeLocal","localTimeZone","QCFlag","QCNotes","scientificName","commonName","TSN","waypoint","decimalLatitude","decimalLongitude","coordSystem","datum","SNPLMale","SNPLFemale","SNPLUnk","SNPLHatchlings","SNPLFledglings","SNPLBands","numberEggs","behaviorTerritoryCC","behaviorTerritoryLW","behaviorTerritoryMD","behaviorTerritorySC","behaviorTerritoryCP","behaviorNestCP","behaviorNestDC","behaviorNestAI","behaviorNestFN","behaviorChicksAC","behaviorChicksNA","behaviorOtherFG","SNPLNotes","type","basisOfRecord"
"PORE","Point Reyes National Seashore","NP","North Beach - Abbott's",2024,2024-04-08,,"19:40:00+0000","12:40:00","PDT","ONBLE",,"Charadrius nivosus","Western Snowy Plover","824030",,38.09726,-122.96709,"GCS","WGS84",2,1,0,0,0,2,0,"No","No","No","No","No","No","No","No","No","No","No","No","va:ya m with xx f very eggy near second red(orange) log. as:oa m nearby. ","Event","HumanObservation"
"PORE","Point Reyes National Seashore","K","Kehoe Beach",2024,2024-08-22,"K05_2024","21:12:00+0000","14:12:00","PDT",,,"Charadrius nivosus","Western Snowy Plover","824030",,38.1202756566927,-122.958302423358,"GCS","WGS84",0,0,0,0,0,0,3,"No","No","No","No","No","No","No","No","No","No","No","No","eggs looked old, f vaoy seen in winter flock ","Event","HumanObservation"
"PORE","Point Reyes National Seashore","NP","North Beach - Abbott's",2025,2025-05-01,"NP03_2025","16:06:00+0000","09:06:00","PDT",,,"Charadrius nivosus","Western Snowy Plover","824030",,38.083066275089,-122.973534192392,"GCS","WGS84",0,1,0,0,0,0,0,"No","No","No","No","No","No","No","No","No","No","No","No","F in; 2 well cr; both tap; oblong no cr/silent","Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2024,2024-05-28,,"17:26:00+0000","10:26:00","PDT","ONBLE",,"Charadrius nivosus","Western Snowy Plover","824030",,38.0285817431286,-122.904543662444,"GCS","WGS84",2,1,0,0,0,2,0,"No","No","No","No","No","No","No","No","No","No","No","No","yb:bo U
os:br M
xx M
","Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2025,2025-07-22,,"18:42:00+0000","11:42:00","PDT",,,"Charadrius nivosus","Western Snowy Plover","824030",,38.0286380460905,-122.904782456238,"GCS","WGS84",2,2,2,0,0,1,0,"No","No","No","No","No","No","No","No","No","No","No","No","koybF and unbanded birds roosting in first blowout","Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2025,2025-04-16,,"19:15:00+0000","12:15:00","PDT","ONBM",,"Charadrius nivosus","Western Snowy Plover","824030",,38.0287502422308,-122.909310658361,"GCS","WGS84",1,1,0,0,0,2,0,"No","No","No","No","No","No","No","No","No","No","No","No","rvwa M/avpa F eggy! &
 paired at 2nd small (broad) BO e of 2nd big BO; fresh scrapes in braod small bo in vellela and debris","Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2025,2025-03-18,,"18:45:00+0000","11:45:00","PDT","ONBM",,"Charadrius nivosus","Western Snowy Plover","824030",,38.0294126813403,-122.91833608037,"GCS","WGS84",2,1,0,0,0,0,0,"No","No","No","No","No","No","No","No","No","No","No","No","All d xx, mid 3rd blowout","Event","HumanObservation"
"PORE","Point Reyes National Seashore","DB","Drakes Beach",2024,2024-07-09,"DB01_2024","15:39:00+0000","08:39:00","PDT",,,"Charadrius nivosus","Western Snowy Plover","824030",,38.031309542292,-122.934889948548,"GCS","WGS84",0,0,0,0,0,0,0,"No","No","No","No","No","No","No","No","No","No","No","No","Found the scrape. Micro habitat - SRE. Nest was in heavy debris field. ","Event","HumanObservation"
"PORE","Point Reyes National Seashore","NP","North Beach - Abbott's",2024,2024-06-25,"NP14_2024","16:39:00+0000","09:39:00","PDT",,,"Charadrius nivosus","Western Snowy Plover","824030",,38.0799974949706,-122.974131432767,"GCS","WGS84",0,1,0,0,0,0,3,"No","No","No","No","No","No","No","No","Yes","No","No","No","xx f NFN, went right back to incubate even when we were 10ft away checking trap camera. ","Event","HumanObservation"
"PORE","Point Reyes National Seashore","K","Kehoe Beach",2024,2024-07-15,,"17:43:00+0000","10:43:00","PDT","ONBLE",,"Charadrius nivosus","Western Snowy Plover","824030",,38.1236424898791,-122.95709656418,"GCS","WGS84",2,1,2,0,2,3,0,"No","No","No","No","No","No","No","No","No","No","No","No","vawa f, as:bo FL, avgr FL, 4 XX. Loafing just S of Abbotts hill","Event","HumanObservation"
"PORE","Point Reyes National Seashore","DB","Drakes Beach",2024,2024-07-11,"DB01_2024","18:29:00+0000","11:29:00","PDT","ONBLE",,"Charadrius nivosus","Western Snowy Plover","824030",,38.0324352563779,-122.931468283663,"GCS","WGS84",1,0,0,3,0,1,0,"No","No","No","No","No","No","No","No","No","Yes","No","No","av:rv brooding 3 chicks","Event","HumanObservation"
"PORE","Point Reyes National Seashore","K","Kehoe Beach",2025,2025-07-01,,"20:05:00+0000","13:05:00","PDT",,,"Charadrius nivosus","Western Snowy Plover","824030",,38.1439978371574,-122.951432621288,"GCS","WGS84",1,0,0,0,0,0,0,"No","No","No","No","No","No","No","No","No","No","No","No","xx male, not esp broody ","Event","HumanObservation"
"PORE","Point Reyes National Seashore","NP","North Beach - Abbott's",2024,2024-04-17,,"18:50:00+0000","11:50:00","PDT",,,"Charadrius nivosus","Western Snowy Plover","824030",,38.11654702,-122.95944182,"GCS","WGS84",1,0,0,0,0,0,0,"No","No","No","No","No","No","No","No","No","No","No","No","xx m roosting in Velella 200m S of lagoon mouth. ","Event","HumanObservation"
"PORE","Point Reyes National Seashore","RA","2011 Dune Restoration Area",2024,2024-08-01,"RA03_2024","19:45:00+0000","12:45:00","PDT",,,"Charadrius nivosus","Western Snowy Plover","824030",,37.907658743993,-122.703249710306,"GCS","WGS84",1,0,0,0,0,0,0,"No","No","No","No","No","No","No","No","No","No","No","No","av:gx M broody, flies out to vt at me, near whale
","Event","HumanObservation"
"PORE","Point Reyes National Seashore","NP","North Beach - Abbott's",2025,2025-04-25,,"20:12:00+0000","13:12:00","PDT","SNBO",,"Charadrius nivosus","Western Snowy Plover","824030",,38.1091703383164,-122.96217784865,"GCS","WGS84",0,1,0,0,0,0,0,"No","No","No","No","No","No","No","No","No","No","No","No","xx F eggy, head bobbing, lower beach; fresh scrapes 80m n of female","Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2024,2024-05-10,"L03_2024","19:11:00+0000","12:11:00","PDT","ONBLE",,"Charadrius nivosus","Western Snowy Plover","824030",,38.0285382498884,-122.90415225415,"GCS","WGS84",1,0,0,0,0,1,0,"No","No","No","No","No","No","No","No","No","No","No","No","vaba M alert/fd 20m from L03","Event","HumanObservation"
"PORE","Point Reyes National Seashore","NP","North Beach - Abbott's",2025,2025-07-07,,"19:52:00+0000","12:52:00","PDT","LEOT",,"Charadrius nivosus","Western Snowy Plover","824030",,38.0435131027371,-122.799383111329,"GCS","WGS84",2,1,0,0,0,1,0,"No","No","No","No","No","No","No","No","No","No","No","No","Small flock with SEPL. XxF, xxM, and rvrbM","Event","HumanObservation"
"PORE","Point Reyes National Seashore","NP","North Beach - Abbott's",2025,2025-07-31,,"18:50:00+0000","11:50:00","PDT",,,"Charadrius nivosus","Western Snowy Plover","824030",,38.1108188979602,-122.961910194955,"GCS","WGS84",0,0,4,0,3,1,0,"No","No","No","No","No","No","No","No","No","No","No","No","Easily spooked flock. Only one banded bird","Event","HumanObservation"
"PORE","Point Reyes National Seashore","NP","North Beach - Abbott's",2025,2025-07-21,"NP25_2025","19:14:00+0000","12:14:00","PDT",,,"Charadrius nivosus","Western Snowy Plover","824030",,38.0904647799282,-122.970205293285,"GCS","WGS84",1,1,0,0,0,2,3,"No","No","No","No","No","No","No","No","No","No","No","No","vawo f
asyy m
nearby. 
3 egg, ME good","Event","HumanObservation"
"PORE","Point Reyes National Seashore","RA","2011 Dune Restoration Area",2024,2024-05-20,"NP11_2024","18:27:00+0000","11:27:00","PDT",,,"Charadrius nivosus","Western Snowy Plover","824030",,38.11112252,-122.96084436,"GCS","WGS84",0,1,0,0,0,0,3,"No","No","No","No","No","No","No","No","Yes","No","No","No","xx f flushed from new 3 egg nest. SRwE microhabitat. Exclosed with ME. Floated all on bottom, 10*, 8*, 8* ","Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2024,2024-05-06,,"19:41:00+0000","12:41:00","PDT","ONBLE",,"Charadrius nivosus","Western Snowy Plover","824030",,38.0286506878232,-122.903047952766,"GCS","WGS84",1,1,0,0,0,1,0,"No","No","No","No","No","No","No","No","No","No","No","No","nan","Event","HumanObservation"
"PORE","Point Reyes National Seashore","DB","Drakes Beach",2025,2025-03-25,,"21:07:00+0000","14:07:00","PDT",,,"Charadrius nivosus","Western Snowy Plover","824030",,38.0321099518361,-122.929909693202,"GCS","WGS84",0,5,0,0,0,1,0,"No","No","No","No","No","No","No","No","No","No","No","No","ok:by 
5 total, checked 2 others for bands, xx","Event","HumanObservation"
"PORE","Point Reyes National Seashore","K","Kehoe Beach",2025,2025-07-22,,"18:39:00+0000","11:39:00","PDT","SNBO",,"Charadrius nivosus","Western Snowy Plover","824030",,38.1481409736018,-122.950719805083,"GCS","WGS84",1,1,0,0,0,0,0,"No","No","No","No","No","No","No","No","No","No","No","No","xx pair roost together, 40 m n of nice fresh scrape on open sand slope (lots of human & dog trks)","Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2024,2024-06-14,"L07_2024","18:54:00+0000","11:54:00","PDT",,,"Charadrius nivosus","Western Snowy Plover","824030",,38.0292308629741,-122.909209089285,"GCS","WGS84",0,0,0,0,0,0,1,"No","No","No","No","No","No","No","No","No","No","No","No","1 egg nest in debris field immediately west of mini blowouts, at E end of 2nd blowout. Moved fencing westward and used ME from 1st blowout. Likely laid this morning or yesterday, F not eggy. Both on WS nearby (vaaa f and avvo m). Micro-SWKTPE) ","Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2024,2024-07-25,,"14:53:00+0000","07:53:00","PDT",,,"Charadrius nivosus","Western Snowy Plover","824030",,38.0280074295639,-122.900673976825,"GCS","WGS84",0,0,0,0,0,0,0,"No","No","No","No","No","No","No","No","No","No","No","No","koyb 
3xx ","Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2025,2025-06-04,"L06_2025","17:51:00+0000","10:51:00","PDT",,,"Charadrius nivosus","Western Snowy Plover","824030",,38.028765570927,-122.903786327632,"GCS","WGS84",0,1,0,0,0,1,3,"No","No","No","No","No","No","No","No","Yes","No","No","No","wnobF inc. took video of her but never sat when phone was present ","Event","HumanObservation"
"PORE","Point Reyes National Seashore","NP","North Beach - Abbott's",2025,2025-07-03,,"17:07:00+0000","10:07:00","PDT",,,"Charadrius nivosus","Western Snowy Plover","824030",,38.0970162947589,-122.967673248719,"GCS","WGS84",1,0,0,0,0,1,0,"No","No","No","No","No","No","No","No","No","No","No","No","vaya M roosting alone s of gulch","Event","HumanObservation"
"PORE","Point Reyes National Seashore","K","Kehoe Beach",2024,2024-07-18,"K05_2024","22:21:00+0000","15:21:00","PDT","ONBLE",,"Charadrius nivosus","Western Snowy Plover","824030",,38.1216257731476,-122.957537751986,"GCS","WGS84",0,1,0,0,0,1,3,"No","No","No","No","No","No","No","No","No","No","No","No","xx f 
3 eggs in debris field just north of Abbott’s lagoon mouth. ","Event","HumanObservation"
