"unitCode","unitName","siteID","siteName","startYear","startDate","QCFlag","QCNotes","predatorType","speciesCode","scientificName","commonName","TSN","numPredator","predatorAction","predatorDirection","waypoint","decimalLongitude","decimalLatitude","coordSystem","datum","predatorNotes","type","basisOfRecord"
"PORE","Point Reyes National Seashore","K","Kehoe Beach",2024,2024-04-09,,,"Common raven","CORA","Corvus corax","Common Raven",179725,1,"Flying","North",,-122.95087,38.14674,"GCS","WGS84",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore","NP","North Beach - Abbott's",2024,2024-04-18,,,"Human","HUMN","Homo sapiens","Human",180092,2,"Walking","North",,-122.974151695523,38.0806523595233,"GCS","WGS84",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2024,2024-06-17,,,"Human","HUMN","Homo sapiens","Human",180092,5,"Walking","Southwest",,-122.889701948427,38.0265007430908,"GCS","WGS84",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2024,2024-04-30,,,"Human","HUMN","Homo sapiens","Human",180092,2,"Walking","East",,-122.901380698991,38.0280418902105,"GCS","WGS84",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore","RA","2011 Dune Restoration Area",2024,2024-06-27,,,"Common raven","CORA","Corvus corax","Common Raven",179725,1,"Flying","North",,-122.703236822248,37.9076500435499,"GCS","WGS84",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore","NP","North Beach - Abbott's",2025,2025-04-14,,,"Common raven","CORA","Corvus corax","Common Raven",179725,2,"Flying","South",,-122.959957205359,38.1151260555334,"GCS","WGS84",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore","K","Kehoe Beach",2025,2025-06-23,,,"Coyote","COYO","Canis latrans","Coyote",180599,2,"Foraging",,,-122.954617170939,38.1316397469123,"GCS","WGS84","Running up to dead eseal. Ran into dunes when they saw me","Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2025,2025-06-02,,,"Human","HUMN","Homo sapiens","Human",180092,2,"Stationary",,,-122.892984180764,38.0270828288096,"GCS","WGS84",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore","NP","North Beach - Abbott's",2025,2025-07-15,,,"Human","HUMN","Homo sapiens","Human",180092,12,"Walking","West",,-122.95883537596,38.1149258904918,"GCS","WGS84","spoke to naturalist group at beach closure fenceline","Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2024,2024-06-20,,,"Common raven","CORA","Corvus corax","Common Raven",179725,1,"Foraging",,,-122.91178856045,38.0290332762524,"GCS","WGS84",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore","NP","North Beach - Abbott's",2024,2024-05-10,,,"Common raven","CORA","Corvus corax","Common Raven",179725,2,"Stationary","South",,-122.967778164893,38.0961831333116,"GCS","WGS84","Perched on dunes, Flushed flew S","Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2025,2025-03-18,,,"Human","HUMN","Homo sapiens","Human",180092,3,"Walking","West",,-122.889987657405,38.0267906127059,"GCS","WGS84",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore","NB","North Beach - South Parking",2024,2024-05-08,,,"Human","HUMN","Homo sapiens","Human",180092,1,"Walking","South",,-122.98053315,38.06620121,"GCS","WGS84",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore","NB","North Beach - South Parking",2025,2025-07-16,,,"Common raven","CORA","Corvus corax","Common Raven",179725,3,"Stationary",,,-122.98226199847,38.0629740426541,"GCS","WGS84","on cliff","Event","HumanObservation"
"PORE","Point Reyes National Seashore","NP","North Beach - Abbott's",2025,2025-03-10,,,"Common raven","CORA","Corvus corax","Common Raven",179725,1,"Flying","South",,-122.97181232831,38.0860653429913,"GCS","WGS84",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2024,2024-04-30,,,"Human","HUMN","Homo sapiens","Human",180092,10,"Walking","East",,-122.880077465048,38.0249312375538,"GCS","WGS84","10 people","Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2024,2024-04-03,,,"Common raven","CORA","Corvus corax","Common Raven",179725,1,"Flying","North",,-122.9042,38.02907,"GCS","WGS84",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore","NP","North Beach - Abbott's",2025,2025-04-17,,,"Common raven","CORA","Corvus corax","Common Raven",179725,2,"Flying","Southwest",,-122.959388892705,38.1135895339545,"GCS","WGS84",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore","NP","North Beach - Abbott's",2024,2024-04-02,,,"Common raven","CORA","Corvus corax","Common Raven",179725,2,"Flying","South",,-122.9739716,38.08141532,"GCS","WGS84",,"Event","HumanObservation"
"PORE","Point Reyes National Seashore","L","Limantour Beach",2024,2024-06-17,,,"Human","HUMN","Homo sapiens","Human",180092,1,"Walking","East",,-122.897200811135,38.027796443063,"GCS","WGS84",,"Event","HumanObservation"
